548	4.0392E-1	9.8912E-1	1.058E-2
549	4.1866E-1	9.9206E-1	9.64E-3
550	4.334E-1	9.95E-1	8.7E-3
551	4.4914E-1	9.96E-1	8.1E-3
552	4.6488E-1	9.97E-1	7.5E-3
553	4.8062E-1	9.98E-1	6.9E-3
554	4.9636E-1	9.99E-1	6.3E-3
555	5.121E-1	1	5.7E-3
556	5.2858E-1	9.99E-1	5.34E-3
557	5.4506E-1	9.98E-1	4.98E-3
558	5.6154E-1	9.97E-1	4.62E-3
559	5.7802E-1	9.96E-1	4.26E-3
560	5.945E-1	9.95E-1	3.9E-3
561	6.1128E-1	9.9172E-1	3.66E-3
562	6.2806E-1	9.8844E-1	3.42E-3
563	6.4484E-1	9.8516E-1	3.18E-3
564	6.6162E-1	9.8188E-1	2.94E-3
565	6.784E-1	9.786E-1	2.7E-3
566	6.9514E-1	9.7328E-1	2.58E-3
567	7.1188E-1	9.6796E-1	2.46E-3
568	7.2862E-1	9.6264E-1	2.34E-3
569	7.4536E-1	9.5732E-1	2.22E-3
570	7.621E-1	9.52E-1	2.1E-3
571	7.7818E-1	9.4468E-1	2.04E-3
572	7.9426E-1	9.3736E-1	1.98E-3
573	8.1034E-1	9.3004E-1	1.92E-3
574	8.2642E-1	9.2272E-1	1.86E-3
575	8.425E-1	9.154E-1	1.8E-3
576	8.5726E-1	9.0632E-1	1.78E-3
577	8.7202E-1	8.9724E-1	1.76E-3
578	8.8678E-1	8.8816E-1	1.74E-3
579	9.0154E-1	8.7908E-1	1.72E-3
580	9.163E-1	8.7E-1	1.7E-3
581	9.2876E-1	8.5926E-1	1.64E-3
582	9.4122E-1	8.4852E-1	1.58E-3
583	9.5368E-1	8.3778E-1	1.52E-3
584	9.6614E-1	8.2704E-1	1.46E-3
585	9.786E-1	8.163E-1	1.4E-3
586	9.8814E-1	8.0444E-1	1.34E-3
587	9.9768E-1	7.9258E-1	1.28E-3
588	1.00722	7.8072E-1	1.22E-3
589	1.01676	7.6886E-1	1.16E-3
590	1.0263	7.57E-1	1.1E-3
591	1.03238	7.4458E-1	1.08E-3
592	1.03846	7.3216E-1	1.06E-3
593	1.04454	7.1974E-1	1.04E-3
594	1.05062	7.0732E-1	1.02E-3
595	1.0567	6.949E-1	1E-3
596	1.0578	6.8212E-1	9.6E-4
597	1.0589	6.6934E-1	9.2E-4
598	1.06	6.5656E-1	8.8E-4
599	1.0611	6.4378E-1	8.4E-4
600	1.0622	6.31E-1	8E-4
601	1.05888	6.1816E-1	7.6E-4
602	1.05556	6.0532E-1	7.2E-4
603	1.05224	5.9248E-1	6.8E-4
